file,true,predicted,correct,verdict,confidence,source,physics_verdict,physics_checks_failed,ml_score,ml_verdict
19782.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.2639,REAL
9896.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2764,REAL
3943.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2712,REAL
18069.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.7320,FAKE
13703.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5068,FAKE
26793.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.4711,REAL
11305.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5937,FAKE
14796.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5537,FAKE
26336.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.4974,REAL
12479.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2777,REAL
9173.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5587,FAKE
3028.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5814,FAKE
18570.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5221,FAKE
16489.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3503,REAL
9237.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5320,FAKE
22520.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3260,REAL
25236.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.5829,FAKE
23104.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3749,REAL
6645.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.1924,REAL
1884.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4643,REAL
14865.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4676,REAL
30337.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5138,FAKE
21960.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4179,REAL
7753.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3468,REAL
24017.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.6739,FAKE
29869.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5832,FAKE
7243.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5145,FAKE
2688.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3669,REAL
10679.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3644,REAL
526.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6284,FAKE
10334.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.1539,REAL
26654.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4744,REAL
23688.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3718,REAL
199.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5836,FAKE
5942.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.7152,FAKE
24480.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5921,FAKE
13745.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4083,REAL
10854.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5209,FAKE
6841.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5262,FAKE
28258.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6376,FAKE
22438.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6099,FAKE
23910.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5673,FAKE
15684.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4008,REAL
7539.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3480,REAL
1823.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.1478,REAL
13572.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5105,FAKE
21170.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7604,FAKE
26989.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.6505,FAKE
17450.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.4028,REAL
2493.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.6736,FAKE
27212.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3623,REAL
7651.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4163,REAL
27759.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3144,REAL
24451.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5292,FAKE
15319.wav,bona-fide,fake,0,FAKE,high,and_fake,FAKE,2,0.6044,FAKE
8210.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5314,FAKE
13317.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.1290,REAL
13782.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5614,FAKE
3595.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5272,FAKE
30706.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6298,FAKE
25003.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6301,FAKE
27094.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2256,REAL
26546.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.3875,REAL
12027.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.6102,FAKE
14522.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5195,FAKE
7370.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5741,FAKE
10311.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5031,FAKE
18653.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5435,FAKE
20633.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5198,FAKE
7615.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3117,REAL
30938.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5566,FAKE
16816.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2083,REAL
29560.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5476,FAKE
27266.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5931,FAKE
3939.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6382,FAKE
2890.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5850,FAKE
21163.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6334,FAKE
30339.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.7432,FAKE
14482.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.3762,REAL
15144.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4517,REAL
9705.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4605,REAL
4286.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6163,FAKE
12145.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6722,FAKE
17965.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.2299,REAL
16259.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4725,REAL
8131.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5889,FAKE
28797.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5834,FAKE
29724.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6696,FAKE
14552.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5223,FAKE
19306.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6247,FAKE
7560.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6022,FAKE
30572.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4233,REAL
18709.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2210,REAL
15487.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7355,FAKE
17638.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5567,FAKE
25279.wav,bona-fide,fake,0,FAKE,high,and_fake,FAKE,2,0.6145,FAKE
26162.wav,bona-fide,fake,0,FAKE,high,and_fake,FAKE,2,0.5232,FAKE
6899.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4237,REAL
23310.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4447,REAL
13824.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4181,REAL
31367.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.7255,FAKE
12123.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4329,REAL
24765.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5265,FAKE
10597.wav,bona-fide,fake,0,FAKE,high,and_fake,FAKE,2,0.5282,FAKE
10587.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5994,FAKE
12470.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4111,REAL
18958.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5638,FAKE
3713.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.5139,FAKE
6149.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5808,FAKE
15706.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3880,REAL
17815.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5219,FAKE
28484.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3880,REAL
18033.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.2113,REAL
16058.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2305,REAL
13473.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3922,REAL
7717.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3439,REAL
8035.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4502,REAL
21650.wav,bona-fide,fake,0,FAKE,high,and_fake,FAKE,2,0.5941,FAKE
17908.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5693,FAKE
9363.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.1835,REAL
399.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3630,REAL
7534.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4150,REAL
11471.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7726,FAKE
18716.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6205,FAKE
4359.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5046,FAKE
13888.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4119,REAL
26213.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2015,REAL
20403.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4792,REAL
14738.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3764,REAL
714.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3592,REAL
619.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.7096,FAKE
25773.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5335,FAKE
9389.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4128,REAL
906.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2529,REAL
31368.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4064,REAL
30255.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6386,FAKE
23676.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5337,FAKE
2297.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5185,FAKE
26732.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4446,REAL
13543.wav,spoof,real,0,REAL,real,phys_only,FAKE,4,0.4675,REAL
26218.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3085,REAL
16885.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3523,REAL
19935.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3504,REAL
20905.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.1423,REAL
12436.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3804,REAL
14653.wav,bona-fide,fake,0,FAKE,high,and_fake,FAKE,2,0.5458,FAKE
3858.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6435,FAKE
7955.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5177,FAKE
30901.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5786,FAKE
14592.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5229,FAKE
14617.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4752,REAL
30552.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.6105,FAKE
1739.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.7850,FAKE
17997.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6253,FAKE
29888.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.4105,REAL
14795.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5378,FAKE
21499.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5300,FAKE
1064.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.7684,FAKE
30999.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4475,REAL
26006.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5128,FAKE
20045.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6677,FAKE
10138.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.3909,REAL
24925.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5026,FAKE
8523.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2310,REAL
12623.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5594,FAKE
11836.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.4800,REAL
25510.wav,bona-fide,fake,0,FAKE,high,and_fake,FAKE,2,0.6040,FAKE
27135.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3216,REAL
14366.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5623,FAKE
15496.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.5100,FAKE
11217.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5696,FAKE
1542.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3398,REAL
30960.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2825,REAL
22333.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6817,FAKE
17193.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5613,FAKE
12708.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,4,0.5917,FAKE
21982.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.7521,FAKE
28844.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5218,FAKE
26158.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5643,FAKE
11683.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4766,REAL
24672.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3194,REAL
5686.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.7379,FAKE
9502.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4351,REAL
8483.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.2978,REAL
17031.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.4561,REAL
6911.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7208,FAKE
22855.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5886,FAKE
23419.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.4780,REAL
28096.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5390,FAKE
4710.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6049,FAKE
6273.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5117,FAKE
18949.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3319,REAL
29240.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.2571,REAL
5448.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4077,REAL
21432.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4547,REAL
1224.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6047,FAKE
16571.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3195,REAL
5869.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5361,FAKE
6250.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4867,REAL
7464.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4749,REAL
18870.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3242,REAL
12417.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6509,FAKE
4769.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6186,FAKE
7318.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3299,REAL
1647.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.7653,FAKE
31006.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4945,REAL
25944.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5099,FAKE
11738.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3541,REAL
6150.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4422,REAL
25499.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3217,REAL
22784.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4536,REAL
16957.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5938,FAKE
7677.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6422,FAKE
14316.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.6096,FAKE
8117.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6148,FAKE
8663.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6778,FAKE
5433.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.4389,REAL
13927.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.3340,REAL
30704.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3244,REAL
21233.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3797,REAL
30850.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5705,FAKE
16737.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5017,FAKE
17717.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4705,REAL
21801.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4360,REAL
6033.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4506,REAL
29878.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.4825,REAL
27501.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4943,REAL
21912.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3796,REAL
3266.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5821,FAKE
1863.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.7369,FAKE
31661.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4391,REAL
20200.wav,spoof,real,0,REAL,real,both_real,REAL,0,0.4873,REAL
11790.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5391,FAKE
6314.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3094,REAL
9315.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4725,REAL
28234.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4255,REAL
6476.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4534,REAL
22317.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4474,REAL
19545.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5348,FAKE
512.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7315,FAKE
22857.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6707,FAKE
10761.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5525,FAKE
25669.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5771,FAKE
14455.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4470,REAL
3756.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3333,REAL
11888.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.6789,FAKE
28940.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.7422,FAKE
19487.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.5787,FAKE
30811.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.6350,FAKE
23597.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3134,REAL
15726.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5822,FAKE
13722.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5385,FAKE
18676.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4502,REAL
11206.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6064,FAKE
23554.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.1886,REAL
681.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5279,FAKE
9285.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.7042,FAKE
18430.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.1441,REAL
24526.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.2628,REAL
12402.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3744,REAL
24361.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4411,REAL
28884.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.4810,REAL
16481.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6395,FAKE
24695.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3581,REAL
428.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3809,REAL
13285.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5637,FAKE
12989.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4377,REAL
27975.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4583,REAL
7976.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4515,REAL
16257.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4883,REAL
14929.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4363,REAL
25968.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4251,REAL
24146.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4093,REAL
26026.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6428,FAKE
4820.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3610,REAL
3833.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.2349,REAL
15454.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5695,FAKE
5148.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3892,REAL
10495.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.9597,FAKE
8277.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5701,FAKE
5783.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4745,REAL
26436.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4955,REAL
16903.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3226,REAL
28101.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6423,FAKE
10962.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.3048,REAL
1886.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4699,REAL
30464.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,3,0.5787,FAKE
16008.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.7500,FAKE
24070.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.7147,FAKE
22786.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4906,REAL
2450.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5748,FAKE
24669.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.4611,REAL
12420.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.7025,FAKE
15410.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4445,REAL
23343.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.7782,FAKE
