file,true,verdict,correct,confidence,reason,ml_score,checks_failed
19782.wav,spoof,REAL,0,MEDIUM,physics_cleared,0.2639,1
9896.wav,bona-fide,REAL,1,MEDIUM,physics_cleared,0.2764,0
3943.wav,bona-fide,REAL,1,MEDIUM,physics_cleared,0.2712,1
18069.wav,spoof,FAKE,1,MEDIUM,physics_confirmed,0.7320,2
13703.wav,spoof,REAL,0,MEDIUM,physics_cleared,0.5068,0
26793.wav,spoof,FAKE,1,MEDIUM,physics_confirmed,0.4711,3
11305.wav,spoof,REAL,0,MEDIUM,physics_cleared,0.5937,1
14796.wav,spoof,REAL,0,MEDIUM,physics_cleared,0.5537,1
26336.wav,bona-fide,FAKE,0,MEDIUM,physics_confirmed,0.4974,2
12479.wav,bona-fide,REAL,1,MEDIUM,physics_cleared,0.2777,1
9173.wav,spoof,FAKE,1,MEDIUM,physics_confirmed,0.5587,2
3028.wav,bona-fide,REAL,1,MEDIUM,physics_cleared,0.5814,1
18570.wav,spoof,REAL,0,MEDIUM,physics_cleared,0.5221,1
16489.wav,spoof,REAL,0,MEDIUM,physics_cleared,0.3503,1
9237.wav,spoof,FAKE,1,MEDIUM,physics_confirmed,0.5320,2
22520.wav,bona-fide,REAL,1,MEDIUM,physics_cleared,0.3260,0
25236.wav,spoof,FAKE,1,MEDIUM,physics_confirmed,0.5829,3
23104.wav,spoof,FAKE,1,MEDIUM,physics_confirmed,0.3749,2
6645.wav,bona-fide,REAL,1,HIGH,ml_highconf_real,0.1924,-1
1884.wav,bona-fide,REAL,1,MEDIUM,physics_cleared,0.4643,1
14865.wav,spoof,FAKE,1,MEDIUM,physics_confirmed,0.4676,2

SUMMARY,accuracy=0.6667,EER=0.2500,FPR=0.1250,FNR=0.4615,TP=7,TN=7,FP=1,FN=6
