file,true,predicted,correct,checks_failed,jitter_pct,shimmer_db,mean_hnr_db,cv_jitter_pct,cv_hnr_pct,phase_dev,flux_cv_pct,sba_score
6707.wav,bona-fide,real,1,0,13.9388,2.5863,2.27,,,2.0866,80.56,0.3152
26006.wav,bona-fide,real,1,0,28.1355,2.638,0.72,,,2.1253,80.3,0.3711
13782.wav,spoof,fake,1,2,8.6258,2.3749,0.27,96.18,650.42,2.0884,57.06,0.3753
30572.wav,bona-fide,real,1,1,22.1582,2.4819,-1.11,,,2.052,73.18,0.2489
31661.wav,spoof,real,0,1,16.2173,2.3599,0.41,66.94,261.33,2.0805,37.44,0.3811
12749.wav,spoof,real,0,0,,,,,,2.0756,72.52,0.3638
13683.wav,spoof,real,0,1,25.5889,2.486,1.78,40.99,40.4,2.0742,268.37,0.2985
10962.wav,bona-fide,real,1,0,15.1168,2.0074,2.88,42.93,35.89,2.0846,99.66,0.3263
9285.wav,spoof,fake,1,3,18.1775,3.1598,-0.51,37.92,115.28,2.0241,205.46,0.3963
28234.wav,bona-fide,real,1,1,25.5539,2.7161,0.35,39.78,903.04,2.0591,95.98,0.338

SUMMARY,accuracy=0.7000,EER=0.3000,FPR=0.0000,FNR=0.6000,TP=2,TN=5,FP=0,FN=3
