threshold,accuracy_pct,fpr_pct,fnr_pct,precision_pct,recall_pct,fpr_dist_to_12pct,eer_score_pct,auroc,n_samples
0.30,66.0000,53.3854,13.6612,60.6526,86.3388,41.3854,29.0365,0.786948,1500
0.35,68.8000,40.6250,21.3115,64.8649,78.6885,28.6250,29.0365,0.786948,1500
0.40,70.5333,31.5104,27.3224,68.7339,72.6776,19.5104,29.0365,0.786948,1500
0.45,71.7333,22.0052,34.8361,73.8390,65.1639,10.0052,29.0365,0.786948,1500
0.50,71.7333,16.0156,41.1202,77.7978,58.8798,4.0156,29.0365,0.786948,1500
0.55,70.3333,11.8490,48.3607,80.5970,51.6393,0.1510,29.0365,0.786948,1500
0.60,69.1333,7.4219,55.4645,85.1175,44.5355,4.5781,29.0365,0.786948,1500
0.65,67.2667,4.9479,61.8852,88.0126,38.1148,7.0521,29.0365,0.786948,1500
0.70,65.4667,2.4740,68.1694,92.4603,31.8306,9.5260,29.0365,0.786948,1500
0.75,63.6000,1.4323,73.0874,94.7115,26.9126,10.5677,29.0365,0.786948,1500
0.80,61.5333,1.0417,77.7322,95.3216,22.2678,10.9583,29.0365,0.786948,1500
0.85,59.5333,0.7812,82.1038,95.6204,17.8962,11.2188,29.0365,0.786948,1500
0.90,56.8667,0.2604,88.1148,97.7528,11.8852,11.7396,29.0365,0.786948,1500
BEST_FPR12_then_ACC=0.55,70.3333,11.8490,48.3607,,,0.1510,29.0365,0.786948,1500
