dataset,filename,label,label_name,subgroup,contamination,orig_filename,decode_path,score_v1_2_4,score_v1_2_5,score_v1_2_6,score_xgb_v1_2_6
deepfake-audio,real/real_000.flac,0,real,YouTube (real),,yt_0011_part_139.flac,native,0.342274,0.91933,0.9934,0.99999
deepfake-audio,real/real_001.flac,0,real,YouTube (real),,yt_0011_part_036.flac,native,0.505698,0.898368,0.904904,0.991746
deepfake-audio,real/real_002.flac,0,real,YouTube (real),,yt_0009_part_263.flac,native,0.432157,0.933494,0.989607,0.999995
deepfake-audio,real/real_003.flac,0,real,YouTube (real),,yt_0009_p2_part_277.flac,native,0.693027,0.874442,0.891313,0.999879
deepfake-audio,real/real_004.flac,0,real,YouTube (real),,yt_0008_part_013.flac,native,0.374548,0.858396,0.719002,0.999685
deepfake-audio,real/real_005.flac,0,real,YouTube (real),,yt_0000_part_069.flac,native,0.528583,0.943572,0.987747,0.999998
deepfake-audio,real/real_006.flac,0,real,YouTube (real),,yt_0011_part_083.flac,native,0.468869,0.942506,0.917137,0.999976
deepfake-audio,real/real_007.flac,0,real,YouTube (real),,yt_0000_part_076.flac,native,0.396777,0.941023,0.980467,0.999922
deepfake-audio,real/real_008.flac,0,real,YouTube (real),,yt_0008_part_231.flac,native,0.285819,0.937398,0.99084,0.999998
deepfake-audio,real/real_009.flac,0,real,YouTube (real),,yt_0006_part_013.flac,native,0.549852,0.858201,0.883676,0.996836
deepfake-audio,real/real_010.flac,0,real,YouTube (real),,yt_0000_part_053.flac,native,0.342093,0.746661,0.773416,0.999947
deepfake-audio,real/real_011.flac,0,real,YouTube (real),,yt_0009_part_110.flac,native,0.661975,0.965871,0.96743,0.999705
deepfake-audio,real/real_012.flac,0,real,YouTube (real),,yt_0006_part_026.flac,native,0.772356,0.898212,0.965427,0.999351
deepfake-audio,real/real_013.flac,0,real,YouTube (real),,yt_0006_p2_part_051.flac,native,0.922379,0.993077,0.999897,0.996999
deepfake-audio,real/real_014.flac,0,real,YouTube (real),,yt_0010_part_002.flac,native,0.370732,0.957539,0.994091,0.999989
deepfake-audio,real/real_015.flac,0,real,YouTube (real),,yt_0012_part_154.flac,native,0.574181,0.82024,0.750902,0.978224
deepfake-audio,real/real_016.flac,0,real,YouTube (real),,yt_0010_part_005.flac,native,0.425524,0.885055,0.947187,0.999845
deepfake-audio,real/real_017.flac,0,real,YouTube (real),,yt_0010_part_006.flac,native,0.595337,0.536463,0.457068,0.003512
deepfake-audio,real/real_018.flac,0,real,YouTube (real),,yt_0011_part_091.flac,native,0.681357,0.977862,0.995986,0.99984
deepfake-audio,real/real_019.flac,0,real,YouTube (real),,yt_0012_part_071.flac,native,0.483762,0.815848,0.821932,0.998746
deepfake-audio,real/real_020.flac,0,real,YouTube (real),,yt_0009_part_199.flac,native,0.44142,0.938665,0.958721,0.999995
deepfake-audio,real/real_021.flac,0,real,YouTube (real),,yt_0009_part_100.flac,native,0.509435,0.939258,0.987264,0.999931
deepfake-audio,real/real_022.flac,0,real,YouTube (real),,yt_0009_part_231.flac,native,0.403795,0.818348,0.839682,0.999934
deepfake-audio,real/real_023.flac,0,real,YouTube (real),,yt_0012_part_100.flac,native,0.340429,0.926782,0.965587,0.99975
deepfake-audio,real/real_024.flac,0,real,YouTube (real),,yt_0005_part_014.flac,native,0.354653,0.913888,0.970287,0.999991
deepfake-audio,real/real_025.flac,0,real,YouTube (real),,yt_0008_part_124.flac,native,0.469011,0.895831,0.940678,0.999974
deepfake-audio,real/real_026.flac,0,real,YouTube (real),,yt_0006_p2_part_013.flac,native,0.680165,0.907598,0.969347,0.999794
deepfake-audio,real/real_027.flac,0,real,YouTube (real),,yt_0009_part_018.flac,native,0.611835,0.865093,0.829198,0.998479
deepfake-audio,real/real_028.flac,0,real,YouTube (real),,yt_0009_part_141.flac,native,0.577321,0.969321,0.954345,0.999936
deepfake-audio,real/real_029.flac,0,real,YouTube (real),,yt_0004_part_043.flac,native,0.259861,0.955185,0.996946,0.999996
deepfake-audio,real/real_030.flac,0,real,YouTube (real),,yt_0008_part_043.flac,native,0.325951,0.934842,0.996174,1.0
deepfake-audio,real/real_031.flac,0,real,YouTube (real),,yt_0011_part_152.flac,native,0.495335,0.950579,0.992497,0.999996
deepfake-audio,real/real_032.flac,0,real,YouTube (real),,yt_0013_part_032.flac,native,0.239366,0.935451,0.997781,0.999994
deepfake-audio,real/real_033.flac,0,real,YouTube (real),,yt_0009_part_220.flac,native,0.624125,0.697236,0.505421,0.851977
deepfake-audio,real/real_034.flac,0,real,YouTube (real),,yt_0009_part_015.flac,native,0.529766,0.942569,0.974577,0.999996
deepfake-audio,real/real_035.flac,0,real,YouTube (real),,yt_0000_part_025.flac,native,0.363839,0.927249,0.981906,0.999996
deepfake-audio,real/real_036.flac,0,real,YouTube (real),,yt_0012_part_108.flac,native,0.413963,0.947911,0.98579,0.999988
deepfake-audio,real/real_037.flac,0,real,YouTube (real),,yt_0012_p2_part_173.flac,native,0.11402,0.213229,0.284889,0.950756
deepfake-audio,real/real_038.flac,0,real,YouTube (real),,yt_0012_part_087.flac,native,0.852037,0.984062,0.999229,0.999906
deepfake-audio,real/real_039.flac,0,real,YouTube (real),,yt_0010_part_020.flac,native,0.472926,0.982117,0.999324,0.999989
deepfake-audio,real/real_040.flac,0,real,YouTube (real),,yt_0008_part_179.flac,native,0.666464,0.68886,0.985761,0.997021
deepfake-audio,real/real_041.flac,0,real,YouTube (real),,yt_0011_part_082.flac,native,0.392681,0.763123,0.787396,0.999801
deepfake-audio,real/real_042.flac,0,real,YouTube (real),,yt_0008_p2_part_265.flac,native,0.686104,0.944416,0.970752,0.999877
deepfake-audio,real/real_043.flac,0,real,YouTube (real),,yt_0011_part_084.flac,native,0.479387,0.956292,0.975997,0.999991
deepfake-audio,real/real_044.flac,0,real,YouTube (real),,yt_0012_part_121.flac,native,0.487284,0.948592,0.978623,0.99998
deepfake-audio,real/real_045.flac,0,real,YouTube (real),,yt_0012_part_111.flac,native,0.750392,0.926751,0.981411,0.999804
deepfake-audio,real/real_046.flac,0,real,YouTube (real),,yt_0008_part_148.flac,native,0.285314,0.765949,0.990258,0.993956
deepfake-audio,real/real_047.flac,0,real,YouTube (real),,yt_0005_part_002.flac,native,0.343757,0.770724,0.675566,0.993198
deepfake-audio,real/real_048.flac,0,real,YouTube (real),,yt_0008_part_229.flac,native,0.197912,0.832296,0.996017,0.999996
deepfake-audio,real/real_049.flac,0,real,YouTube (real),,yt_0000_part_022.flac,native,0.237958,0.804825,0.955864,0.999993
deepfake-audio,real/real_050.flac,0,real,YouTube (real),,yt_0003_part_019.flac,native,0.675791,0.976883,0.995357,0.999923
